Segment,Mean,Std
LON,0.002111139940097928,0.015459384
LAT,0.007120770402252674,0.048381284
ALLSKY_SFC_SW_DWN,0.04395143315196037,0.0699237
WS2M,0.11871132254600525,0.22509617
T2M_RANGE,0.12497653812170029,0.22691078
T2M_MAX,0.14291377365589142,0.23385634
T2M_MIN,0.15518204867839813,0.2740901
T2M,0.14541780948638916,0.25790557
RH2M,0.16579291224479675,0.22459178
PS,0.10319782793521881,0.24268012
PRECTOTCORR,0.16173884272575378,0.21411075
TOA_SW_DWN,0.10716410726308823,0.18627007
WS2M_MAX,0.15230977535247803,0.26638773
WS2M_MIN,0.11239182949066162,0.22577468
WS2M_RANGE,0.16078351438045502,0.26395503
WD2M,0.06333553791046143,0.16188607
CLRSKY_SFC_SW_DWN,0.13024599850177765,0.21509656
ALLSKY_SFC_LW_DWN,0.00027196796145290136,0.0018112859
T2MDEW,0.16117744147777557,0.25962558
T2MWET,0.15560683608055115,0.2673964
TS,0.14833210408687592,0.26072624
GWETTOP,0.16063591837882996,0.21275821
GWETROOT,0.17041638493537903,0.22503527
GWETPROF,0.1721893548965454,0.22683896
DL,0.22705420851707458,0.3126374
ALT,0.11283604800701141,0.23878449
