Segment,Mean,Std
LON,0.020881401,0.069854744
LAT,0.06860415,0.16373593
ALLSKY_SFC_SW_DWN,0.08700548,0.16100177
WS2M,0.16473806,0.25477213
T2M_RANGE,0.11192661,0.18746348
T2M_MAX,0.24002913,0.27253136
T2M_MIN,0.27062523,0.3163755
T2M,0.2699735,0.3156753
RH2M,0.1683707,0.17222717
PS,0.23549978,0.33203417
PRECTOTCORR,0.15996628,0.2043357
TOA_SW_DWN,0.27734357,0.25669357
WS2M_MAX,0.1643856,0.23860441
WS2M_MIN,0.17494854,0.26983774
WS2M_RANGE,0.18164593,0.26454633
WD2M,0.16424468,0.27337834
CLRSKY_SFC_SW_DWN,0.10209238,0.18240058
ALLSKY_SFC_LW_DWN,0.29412845,0.37751263
T2MDEW,0.25935492,0.30563316
T2MWET,0.27471915,0.3192047
TS,0.26707953,0.31816113
GWETTOP,0.18443786,0.20719396
GWETROOT,0.18351793,0.22388585
GWETPROF,0.179108,0.22426209
DL,0.0062105632,0.009057617
ALT,0.1801401,0.30862498
