Name,SMILES
Bornyl acetate,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C??
"Guaia-6,9-diene",?CC1CCC2C1C=C(CC=C2C)C(C)C??
Calarene,CC1CCC=C2C1(C3C(C3(C)C)CC2)C
gamma-Terpineol,CC(=C1CCC(CC1)(C)O)C
delta.-EIemene,?CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C
patchoulene,C[C@@H]1CCC2=C1C[C@@H]3CC[C@@]2(C3(C)C)C
Thujopsene,CC1=CC[C@@]2(CCCC([C@]23[C@H]1C3)(C)C)C
Longifolene,C[C@]12CCCC([C@@H]3[C@H]1CC[C@@H]3C2=C)(C)C
CitronellyI acetate,CC(CCC=C(C)C)CCOC(=O)C?
7-epi-Silphiperfol-5-ene,CC1CCC23C1CCC2(C=C(C3C)C)C
Silphinene,C[C@@H]1CC[C@@H]2[C@]13C=CC[C@]3(CC2(C)C)C
Geranyl acetate,CC(=CCC/C(=C/COC(=O)C)/C)C
alpha.-Guaiene,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(=C)C
"10s,11s-Himachala-3(12),4-diene",C[C@H]1CCCC(C2=CC(=C)CC[C@@H]12)(C)C
Cedrene,?C[C@@H]1CC[C@@H]2[C@]13CC=C([C@H](C3)C2(C)C)C=O
Modhephene,C[C@@H]1CC[C@@]23[C@@]1(CCC2)C(=CC3(C)C)C
beta-Elemene,CC(=C)[C@@H]1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C
alpha-Isocomene,C[C@@H]1CC[C@@]2([C@]13CCC[C@]3(C=C2C)C)C
(Z)-caryophyllene,C/C/1=C\CCC(=C)[C@H]2CC([C@H]2CC1)(C)C
delta.-Guaiene,C[C@H]1CCC2=C(CC[C@H](C[C@@H]12)C(=C)C)C
Cyperene,C[C@@H]1CC[C@@H]2CC3=C(CC[C@]13C2(C)C)C
beta-Isocomene,C[C@@H]1CC[C@@]2([C@]13CCC[C@]3(CC2=C)C)C
Germacrene B,C/C/1=C\CC/C(=C/CC(=C(C)C)CC1)/C
Caryophyllene ,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
gamma-Elemene,CC(=C1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C)C
Alpha. -Muurolene,CC1=C[C@@H]2[C@H](CC1)C(=CC[C@H]2C(C)C)C
gamma-Amorphene,CC1=C[C@H]2[C@@H](CC1)C(=C)CC[C@H]2C(C)C
beta.-Copaene,CC(C)[C@@H]1CC[C@@]2([C@@H]3[C@H]1[C@H]2C(=C)CC3)C?
Copaene,CC1=CC[C@H]2[C@H]3[C@@H]1[C@@]2(CC[C@H]3C(C)C)C?
β-bisabolene,CC1=CC[C@H](CC1)C(=C)CCC=C(C)C
Germacrene D,C/C/1=C\CCC(=C)/C=C/[C@@H](CC1)C(C)C
Humulene,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C
gamma-Curcumene,CC1=CC=C(CC1)[C@H](C)CCC=C(C)C
alpha-Curcumene,CC1=CC=C(C=C1)C(C)CCC=C(C)C
gamma-selinene,CC(=C1CCC2(CCCC(=C)C2C1)C)C
alpha-selinene,CC1=CCC[C@]2([C@H]1C[C@@H](CC2)C(=C)C)C?
beta-selinene,CC(=C)[C@@H]1CC[C@]2(CCCC(=C)[C@@H]2C1)C
Eremophilene,C[C@H]1CCC=C2[C@@]1(C[C@@H](CC2)C(=C)C)C
beta-Cadinene,CC1=CC[C@@H]2[C@@H](C1)[C@@H](CC=C2C)C(C)C
Epiglobulol,C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CC[C@]2(C)O
gamma-Muurolene ,CC1=C[C@@H]2[C@H](CC1)C(=C)CC[C@H]2C(C)C
beta.-Himachalene,CC1=C[C@H]2C(=C(CCCC2(C)C)C)CC1
delta.-Cadinene,CC1=C[C@H]2[C@@H](CCC(=C2CC1)C)C(C)C
beta-sesquiphellanderene,C[C@@H](CCC=C(C)C)[C@H]1CCC(=C)C=C1
Cubebol,C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2[C@@](CC3)(C)O)C(C)C
Aromandendrene,CC1CCC2C1C3C(C3(C)C)CCC2=C
 Valencene,C[C@@H]1CCC=C2[C@]1(C[C@@H](CC2)C(=C)C)C
Elemol,CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O
Isovalencenyl formate,CC1CCC=C2C1(C/C(=C(\C)/COC=O)/CC2)C
α-Bourbonene,CC1=CCC2C1C3C2(CCC3C(C)C)C
Caryophyllene oxide,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2
Nootkatone,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C
Guaiol,?C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)O?
Rosifoliol,CC1CCCC2(C1=CC(CC2)C(C)(C)O)C
Epicubenol,C[C@@H]1CC[C@H]([C@H]2[C@@]1(CCC(=C2)C)O)C(C)C
Germacrene D-4-ol,?C/C/1=C\CCC(/C=C/C(CC1)C(C)C)(C)O
(-)-Spathulenol,?C[C@]1(CC[C@H]2[C@H]1[C@@H]3[C@@H](C3(C)C)CCC2=C)O
gamma-Eudesmol,CC1=C2C[C@@H](CC[C@]2(CCC1)C)C(C)(C)O
Agarospirol,C[C@@H]1CCC=C([C@@]12CC[C@H](C2)C(C)(C)O)C
(-)-Aristolene,C[C@@H]1CCCC2=CC[C@@H]3[C@H]([C@@]12C)C3(C)C
Hinesol,C[C@H]1CCC=C([C@]12CC[C@H](C2)C(C)(C)O)C
Bulnesol,CC1CCC2=C(CCC(CC12)C(C)(C)O)C
beta-Eudesmol,?C[C@]12CCCC(=C)[C@@H]1C[C@@H](CC2)C(C)(C)O
Atractylon,CC1=COC2=C1C[C@H]3C(=C)CCC[C@@]3(C2)C
Hedycaryol,C/C/1=C/CC/C(=C\C[C@H](CC1)C(C)(C)O)/C
Patchouli alcohol,C[C@H]1CC[C@@]2([C@@]3([C@H]1C[C@H](C2(C)C)CC3)C)O
"Furanoeudesma-1,4-diene",CC1=C2CC3=C(CC2(C=CC1)C)OC=C3C
beta-Acorenol,C[C@@H]1CC[C@H]([C@@]12CCC(=CC2)C)C(C)(C)O
Bisabolol,CC1=CC[C@@H](CC1)[C@@](C)(CCC=C(C)C)O
Globulol,C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CC[C@@]2(C)O
 Espatulenol,C[C@@]1(CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C)O
Longipinocarvone,CC1(CCCC2(C3C1C2C(=C)C(=O)C3)C)C
Atractylodin,C/C=C/C#CC#C/C=C/C1=CC=CO1?
Cryptomeridiol,C[C@]12CCC[C@@]([C@@H]1C[C@@H](CC2)C(C)(C)O)(C)O?
Lindestrene,CC1=COC2=C1C[C@H]3C(=C)CC=C[C@@]3(C2)C
"Furanoeudesma-1,3-diene",CC1=CC=CC2(C1CC3=C(C2)OC=C3C)C
